datetime,code,open,close,high,low,vol,amount,p_change
2017-3-13,300,3425.67,3458.1,3458.1,3412.69,916841,1.08489E+11,0.88
2017-3-14,300,3456.66,3456.69,3465.39,3448.9,770779,95317565440,-0.04
2017-3-15,300,3452.21,3463.64,3463.92,3445.27,791049,94056259584,0.2
2017-3-16,300,3472.27,3481.51,3492.13,3472.27,1063339,1.24696E+11,0.52
2017-3-17,300,3485.31,3445.81,3488.5,3441.47,1037555,1.22369E+11,-1.03
2017-3-20,300,3449.05,3449.61,3454.06,3429.83,887343,1.03769E+11,0.11
2017-3-21,300,3449.77,3466.35,3466.7,3445.64,877078,1.13528E+11,0.49
2017-3-22,300,3450.75,3450.05,3464.33,3433.5,1049359,1.23866E+11,-0.47
2017-3-23,300,3452.41,3461.98,3470.82,3435.69,943180,1.15814E+11,0.35
2017-3-24,300,3464.2,3489.6,3499.32,3461.11,1256458,1.41753E+11,0.8
2017-3-27,300,3488.76,3478.04,3505.98,3474.52,1070153,1.24388E+11,-0.33
2017-3-28,300,3480.25,3469.81,3482.29,3461.47,841948,97495941120,-0.24
2017-3-29,300,3472.97,3465.19,3483.06,3455.55,1048517,1.14663E+11,-0.13
2017-3-30,300,3461.62,3436.76,3467.3,3422.37,1163769,1.22088E+11,-0.82
2017-3-31,300,3434.82,3456.05,3456.31,3430.82,915774,1.00985E+11,0.56
2017-4-5,300,3476.42,3503.89,3504.54,3475.15,1433990,1.60743E+11,1.38
2017-4-6,300,3507.99,3514.05,3517.78,3495.72,1367670,1.45222E+11,0.29
2017-4-7,300,3514.45,3517.46,3526.81,3506.39,1402932,1.4456E+11,0.1
2017-4-10,300,3519.46,3505.14,3522.8,3502.08,1418873,1.55748E+11,-0.35
2017-4-11,300,3503.83,3517.33,3520.13,3466.14,1659458,1.89457E+11,0.35
2017-4-12,300,3514.57,3509.44,3523.1,3498,1818245,2.02155E+11,-0.22
2017-4-13,300,3500.28,3514.57,3518.44,3496.57,1299818,1.33346E+11,0.15
2017-4-14,300,3516.81,3486.5,3517.47,3476.95,1354740,1.30425E+11,-0.8
2017-4-17,300,3475.74,3479.94,3480.57,3453.68,1171649,1.23884E+11,-0.19
2017-4-18,300,3474.89,3462.74,3489.08,3462.63,1109278,1.26791E+11,-0.49
2017-4-19,300,3452.99,3445.88,3459.35,3418.51,1213492,1.2705E+11,-0.49
2017-4-20,300,3444.52,3461.55,3465.61,3440.72,1141842,1.33977E+11,0.45
2017-4-21,300,3461.39,3466.79,3475.56,3449.54,1044191,1.15209E+11,0.15
2017-4-24,300,3458.23,3431.26,3458.23,3403.98,1146607,1.22778E+11,-1.02
2017-4-25,300,3427.73,3440.97,3449.67,3422.65,940721,1.07599E+11,0.28
2017-4-26,300,3440.25,3445.18,3466.57,3439.15,1119400,1.31317E+11,0.12
2017-4-27,300,3435.1,3446.72,3449.27,3399.54,1232984,1.34611E+11,0.04
2017-4-28,300,3439.57,3439.75,3439.9,3417.24,1016323,1.13761E+11,-0.2
2017-5-2,300,3427.92,3426.58,3436.31,3418.67,927974,1.01636E+11,-0.38
2017-5-3,300,3421.76,3413.13,3432.22,3403.08,916696,97854119936,-0.39
2017-5-4,300,3404.94,3404.39,3421.4,3391.28,1034820,1.06986E+11,-0.26
2017-5-5,300,3393.48,3382.55,3395.45,3366.56,1098953,1.17465E+11,-0.64
2017-5-8,300,3369.11,3358.81,3374.16,3339.57,1237492,1.26885E+11,-0.7
2017-5-9,300,3342.6,3352.53,3358.05,3327.59,767716,85528829952,-0.19
2017-5-10,300,3350.65,3337.7,3369.43,3336,920826,1.02195E+11,-0.44
2017-5-11,300,3322.95,3356.65,3359.6,3312.89,1092528,1.11576E+11,0.57
2017-5-12,300,3350.94,3385.38,3387.27,3349.17,933864,97522122752,0.86
2017-5-15,300,3391.59,3399.19,3406.58,3391.59,829776,92183330816,0.41
2017-5-16,300,3390.93,3428.65,3428.85,3373.55,1052424,1.12814E+11,0.87
2017-5-17,300,3423.19,3409.97,3433.97,3408.15,997368,1.10553E+11,-0.54
2017-5-18,300,3387.67,3398.11,3409.93,3383.94,857595,88091164672,-0.35
2017-5-19,300,3395.23,3403.85,3405.94,3392.38,714735,78397079552,0.17
2017-5-22,300,3400.59,3411.24,3424.18,3391.17,925395,99021119488,0.22
2017-5-23,300,3405.03,3424.19,3434.77,3401.53,1169110,1.26768E+11,0.38
2017-5-24,300,3409.72,3424.17,3424.17,3383.89,835531,92620046336,0
2017-5-25,300,3414.4,3485.66,3490.42,3413.22,1307216,1.36634E+11,1.8
2017-5-26,300,3479.62,3480.43,3498.31,3473.04,1032411,1.12586E+11,-0.15
2017-5-31,300,3495.07,3492.88,3515.08,3474.92,1048297,1.15969E+11,0.36
2017-6-1,300,3485.22,3497.74,3499.81,3476.43,1031277,1.16089E+11,0.14
2017-6-2,300,3491.59,3486.51,3498.12,3470.2,826680,92850749440,-0.32
2017-6-5,300,3480.17,3468.75,3484.12,3462.31,797381,85609463808,-0.51
2017-6-6,300,3464.38,3492.88,3492.88,3460.45,640893,77868793856,0.7
2017-6-7,300,3493.88,3533.87,3537.09,3491.13,1044199,1.24189E+11,1.17
2017-6-8,300,3531.24,3560.98,3562.27,3528.18,902249,1.12036E+11,0.77
2017-6-9,300,3561.24,3576.17,3590.89,3560.63,1011882,1.21701E+11,0.43
2017-6-12,300,3570.22,3574.39,3603.69,3565.9,903811,1.17691E+11,-0.05
2017-6-13,300,3569.16,3582.27,3584.41,3559.21,751771,94223081472,0.22
2017-6-14,300,3571.25,3535.3,3571.25,3530.27,838107,1.06105E+11,-1.31
2017-6-15,300,3530.75,3528.79,3542.28,3508.95,826325,1.06054E+11,-0.18
2017-6-16,300,3522.97,3518.76,3536.14,3514.39,764527,91462287360,-0.28
2017-6-19,300,3520.06,3553.67,3554.91,3520.06,797971,98572361728,0.99
2017-6-20,300,3560.79,3546.49,3563.7,3539.51,805095,98187591680,-0.2
2017-6-21,300,3567.13,3587.96,3587.99,3545.57,878598,1.17148E+11,1.17
2017-6-22,300,3583.56,3590.34,3635.53,3581.34,1355269,1.69419E+11,0.07
2017-6-23,300,3583.44,3622.88,3623.24,3569.32,1051291,1.33975E+11,0.91
2017-6-26,300,3627.02,3668.09,3671.94,3627.02,1346380,1.70737E+11,1.25
2017-6-27,300,3665.58,3674.72,3676.53,3648.76,975587,1.23057E+11,0.18
2017-6-28,300,3664.16,3646.17,3672.19,3644.03,979208,1.24466E+11,-0.78
2017-6-29,300,3649.25,3668.83,3669.13,3644.73,855894,1.11847E+11,0.62
2017-6-30,300,3654.73,3666.8,3669.76,3646.23,815100,1.0246E+11,-0.06
2017-7-3,300,3667.23,3650.85,3667.6,3633.78,888208,1.15215E+11,-0.43
2017-7-4,300,3646.83,3619.98,3646.85,3611.69,950714,1.2535E+11,-0.85
2017-7-5,300,3611.9,3659.68,3660.73,3610.46,882324,1.20352E+11,1.1
2017-7-6,300,3654.56,3660.1,3666.77,3629.56,1023792,1.32837E+11,0.01
2017-7-7,300,3647.64,3655.93,3657.11,3631.87,1037354,1.23465E+11,-0.11
2017-7-10,300,3647.94,3653.69,3667.85,3641.53,1205919,1.41035E+11,-0.06
2017-7-11,300,3646.88,3670.81,3701.21,3645.99,1187608,1.45084E+11,0.47
2017-7-12,300,3672.63,3658.82,3691.58,3640.59,1222877,1.43495E+11,-0.33
2017-7-13,300,3656.35,3686.92,3690.48,3652.57,1256695,1.46389E+11,0.77
2017-7-14,300,3682.62,3703.09,3703.09,3672.74,1055140,1.21021E+11,0.44
2017-7-17,300,3700.62,3663.56,3716.47,3621.37,1788216,1.96217E+11,-1.07
2017-7-18,300,3648.49,3667.18,3667.54,3622.04,1246220,1.41472E+11,0.1
2017-7-19,300,3660.87,3729.75,3731.05,3658.2,1824777,1.98392E+11,1.71
2017-7-20,300,3725.14,3747.88,3750.19,3723.07,1424100,1.69267E+11,0.49
2017-7-21,300,3738.18,3728.6,3751.69,3722.07,1179412,1.41433E+11,-0.51
2017-7-24,300,3724.38,3743.47,3755.19,3719.85,1348687,1.54702E+11,0.4
2017-7-25,300,3742.64,3719.56,3752.16,3713.28,1216720,1.33532E+11,-0.64
2017-7-26,300,3722.88,3705.39,3738.53,3684.18,1363252,1.46518E+11,-0.38
2017-7-27,300,3700.86,3712.19,3716.69,3672.5,1450029,1.61631E+11,0.18
2017-7-28,300,3703.49,3721.89,3725.54,3696.78,1114113,1.25818E+11,0.26
2017-7-31,300,3722.43,3737.87,3746.52,3713.66,1484290,1.6089E+11,0.43
2017-8-1,300,3738.74,3770.38,3770.4,3737.1,1525465,1.73128E+11,0.87
2017-8-2,300,3768.19,3760.85,3784.35,3759.28,1722933,1.89337E+11,-0.25
2017-8-3,300,3755.11,3727.83,3766.35,3718.44,1461539,1.6471E+11,-0.88
